cryptocurrency_id,timestamp,price_btc,price_eth,price_eur,price_usd,price_satoshis,market_cap_btc,market_cap_eth,market_cap_eur,market_cap_usd,market_cap_satoshis,total_volume_btc,total_volume_eth,total_volume_eur,total_volume_usd,total_volume_satoshis
bitcoin,2016-09-27,0.9999999999999996,46.21186425981854,538.5357000000001,604.2074999999999,,15892103.999999993,734403752.8509192,8558465352.112802,9602128427.579998,,2397247.39269121,110781271.10825016,1291003302.6961358,1448434854.0194745,
bitcoin,2016-09-28,1.0,45.3323315196255,537.9476000000001,603.5549999999997,,15893952.0,720509901.2210147,8550113332.915201,9592874199.359997,,1695496.49118745,76860809.02887128,912088268.24271,1023325384.7386414,
bitcoin,2016-09-29,1.0,46.16925686057742,538.8179000000001,604.6375,,15895668.0,733891178.862461,8564870450.857203,9611116960.350002,,2135388.22216858,98589287.32635294,1150585397.5536077,1291135796.181455,
bitcoin,2016-09-30,1.0,46.10021045301413,541.1667,608.2575,,15897384.0,732872748.0523796,8603134837.9128,9669703048.38,,1935712.10888876,89236735.59621963,1047542934.117371,1177411408.0724049,
bitcoin,2016-10-01,1.0000000000000004,46.27487001376648,546.3290972434273,614.0598845176643,,15899244.000000006,735735449.4171566,8686219621.372978,9763087934.558168,,2725910.64199317,126141160.62737665,1489244300.2063794,1673872374.027799,
bitcoin,2016-10-02,1.0,46.24662564195783,543.0972000000002,610.3588000000001,,15900972.0,735366299.4272535,8635773370.478401,9705298188.7536,,1668448.569362139,77160116.39015095,906129746.3645836,1018352266.657592,
bitcoin,2016-10-03,1.0,45.429344217745545,545.7161049806977,611.9609026561799,,15902748.0,722451412.9000645,8678385697.04958,9731860020.793758,,1254688.76138406,56999687.62705326,684703863.8255653,767820466.9691538,
bitcoin,2016-10-04,1.0,45.93910068505036,543.6627999999998,609.2425,,15904644.0,730645042.0758822,8646763290.043198,9689785072.17,,1341093.23674767,61608617.2309913,729102504.1513011,817050996.2892424,
bitcoin,2016-10-05,1.0,46.84471410503034,545.6713,611.6363,,15906612.0,745140691.5196449,8679781648.635601,9729061309.2156,,1496051.07788556,70082085.03007154,816352136.5362148,915039145.8889356,
bitcoin,2016-10-06,1.0,47.63557466711878,548.1407000000002,610.9800000000001,,15908520.0,757811492.3033525,8720107288.764002,9719787549.600002,,1169627.3534719,55715871.12901523,641120356.2712348,714618920.4242615,
bitcoin,2016-10-07,1.0,48.69108851758465,550.0676999999998,616.2188000000002,,15910284.0,774689046.5839108,8751733326.226797,9804216114.139202,,1792444.43079776,87276070.44282536,985965785.426733,1104537956.2128787,
