cryptocurrency_id,timestamp,current_supply
bitcoin,2013-11-01,11934889
bitcoin,2013-11-02,11939939
bitcoin,2013-11-03,11944739
bitcoin,2013-11-04,11949614
bitcoin,2013-11-05,11953964
bitcoin,2013-11-06,11958039
bitcoin,2013-11-07,11961639
bitcoin,2013-11-08,11964989
bitcoin,2013-11-09,11968689
bitcoin,2013-11-10,11972964
bitcoin,2013-11-11,11977639
bitcoin,2013-11-12,11982664
bitcoin,2013-11-13,11986864
bitcoin,2013-11-14,11991439
bitcoin,2013-11-15,11995589
bitcoin,2013-11-16,12000439
bitcoin,2013-11-17,12005089
bitcoin,2013-11-18,12008989
bitcoin,2013-11-19,12013014
bitcoin,2013-11-20,12017114
bitcoin,2013-11-21,12020864
bitcoin,2013-11-22,12025164
bitcoin,2013-11-23,12029414
bitcoin,2013-11-24,12033614
bitcoin,2013-11-25,12037939
bitcoin,2013-11-26,12041914
bitcoin,2013-11-27,12046239
bitcoin,2013-11-28,12050764
bitcoin,2013-11-29,12055089
bitcoin,2013-11-30,12059489
bitcoin,2013-12-01,12064364
bitcoin,2013-12-02,12068339
bitcoin,2013-12-03,12073339
bitcoin,2013-12-04,12077614
bitcoin,2013-12-05,12081864
bitcoin,2013-12-06,12087064
bitcoin,2013-12-07,12091939
bitcoin,2013-12-08,12096814
bitcoin,2013-12-09,12101214
bitcoin,2013-12-10,12106014
bitcoin,2013-12-11,12110139
bitcoin,2013-12-12,12114214
bitcoin,2013-12-13,12118564
bitcoin,2013-12-14,12123514
bitcoin,2013-12-15,12127939
bitcoin,2013-12-16,12132964
bitcoin,2013-12-17,12138039
bitcoin,2013-12-18,12143014
bitcoin,2013-12-19,12148664
bitcoin,2013-12-20,12153114
bitcoin,2013-12-21,12157139
bitcoin,2013-12-22,12161364
bitcoin,2013-12-23,12165639
bitcoin,2013-12-24,12169864
bitcoin,2013-12-25,12173914
bitcoin,2013-12-26,12178414
bitcoin,2013-12-27,12183014
bitcoin,2013-12-28,12186764
bitcoin,2013-12-29,12190964
bitcoin,2013-12-30,12195289
bitcoin,2013-12-31,12199889
bitcoin,2014-01-01,12205014
bitcoin,2014-01-02,12208364
bitcoin,2014-01-03,12212389
bitcoin,2014-01-04,12215914
bitcoin,2014-01-05,12220739
bitcoin,2014-01-06,12225389
bitcoin,2014-01-07,12229814
bitcoin,2014-01-08,12234639
bitcoin,2014-01-09,12239814
bitcoin,2014-01-10,12244489
bitcoin,2014-01-11,12249739
bitcoin,2014-01-12,12254914
bitcoin,2014-01-13,12259139
bitcoin,2014-01-14,12263189
bitcoin,2014-01-15,12267789
bitcoin,2014-01-16,12272414
bitcoin,2014-01-17,12276214
bitcoin,2014-01-18,12280564
bitcoin,2014-01-19,12284789
bitcoin,2014-01-20,12289664
bitcoin,2014-01-21,12293814
bitcoin,2014-01-22,12298614
bitcoin,2014-01-23,12303039
bitcoin,2014-01-24,12307764
bitcoin,2014-01-25,12311889
bitcoin,2014-01-26,12315689
bitcoin,2014-01-27,12320039
bitcoin,2014-01-28,12323889
bitcoin,2014-01-29,12327689
bitcoin,2014-01-30,12332089
bitcoin,2014-01-31,12336689
bitcoin,2014-02-01,12341414
bitcoin,2014-02-02,12346064
bitcoin,2014-02-03,12350589
bitcoin,2014-02-04,12354889
bitcoin,2014-02-05,12359089
bitcoin,2014-02-06,12363639
bitcoin,2014-02-07,12367514
bitcoin,2014-02-08,12372064
bitcoin,2014-02-09,12375514
bitcoin,2014-02-10,12379414
bitcoin,2014-02-11,12383514
bitcoin,2014-02-12,12387964
bitcoin,2014-02-13,12392414
bitcoin,2014-02-14,12397189
bitcoin,2014-02-15,12401864
bitcoin,2014-02-16,12406739
bitcoin,2014-02-17,12410614
bitcoin,2014-02-18,12414689
bitcoin,2014-02-19,12419689
bitcoin,2014-02-20,12424114
bitcoin,2014-02-21,12427914
bitcoin,2014-02-22,12432414
bitcoin,2014-02-23,12436614
bitcoin,2014-02-24,12441389
bitcoin,2014-02-25,12445414
bitcoin,2014-02-26,12450014
bitcoin,2014-02-27,12454714
bitcoin,2014-02-28,12459239
bitcoin,2014-03-01,12462839
bitcoin,2014-03-02,12466339
bitcoin,2014-03-03,12470039
bitcoin,2014-03-04,12473764
bitcoin,2014-03-05,12477664
bitcoin,2014-03-06,12481989
bitcoin,2014-03-07,12486139
bitcoin,2014-03-08,12490339
bitcoin,2014-03-09,12494814
bitcoin,2014-03-10,12498539
bitcoin,2014-03-11,12502739
bitcoin,2014-03-12,12507289
bitcoin,2014-03-13,12511339
bitcoin,2014-03-14,12514664
bitcoin,2014-03-15,12518789
bitcoin,2014-03-16,12523064
bitcoin,2014-03-17,12527089
bitcoin,2014-03-18,12530739
bitcoin,2014-03-19,12534739
bitcoin,2014-03-20,12539164
bitcoin,2014-03-21,12543814
bitcoin,2014-03-22,12548064
bitcoin,2014-03-23,12553414
bitcoin,2014-03-24,12558114
bitcoin,2014-03-25,12562039
bitcoin,2014-03-26,12566014
bitcoin,2014-03-27,12570339
bitcoin,2014-03-28,12574689
bitcoin,2014-03-29,12579064
bitcoin,2014-03-30,12582564
bitcoin,2014-03-31,12587064
bitcoin,2014-04-01,12591339
bitcoin,2014-04-02,12596264
bitcoin,2014-04-03,12601364
bitcoin,2014-04-04,12606239
bitcoin,2014-04-05,12610514
bitcoin,2014-04-06,12614289
bitcoin,2014-04-07,12618064
bitcoin,2014-04-08,12621414
bitcoin,2014-04-09,12625439
bitcoin,2014-04-10,12629314
bitcoin,2014-04-11,12633539
bitcoin,2014-04-12,12637564
bitcoin,2014-04-13,12642239
bitcoin,2014-04-14,12647064
bitcoin,2014-04-15,12651614
bitcoin,2014-04-16,12655589
bitcoin,2014-04-17,12659814
bitcoin,2014-04-18,12663814
bitcoin,2014-04-19,12667789
bitcoin,2014-04-20,12672239
bitcoin,2014-04-21,12676514
bitcoin,2014-04-22,12680364
bitcoin,2014-04-23,12684489
bitcoin,2014-04-24,12688264
bitcoin,2014-04-25,12692814
bitcoin,2014-04-26,12696889
bitcoin,2014-04-27,12701314
bitcoin,2014-04-28,12705114
bitcoin,2014-04-29,12709389
bitcoin,2014-04-30,12712814
bitcoin,2014-05-01,12717214
bitcoin,2014-05-02,12721239
bitcoin,2014-05-03,12724789
bitcoin,2014-05-04,12728564
bitcoin,2014-05-05,12731689
bitcoin,2014-05-06,12736539
bitcoin,2014-05-07,12740514
bitcoin,2014-05-08,12744689
bitcoin,2014-05-09,12748939
bitcoin,2014-05-10,12753414
bitcoin,2014-05-11,12757214
bitcoin,2014-05-12,12761314
bitcoin,2014-05-13,12765364
bitcoin,2014-05-14,12769114
bitcoin,2014-05-15,12773389
bitcoin,2014-05-16,12777914
bitcoin,2014-05-17,12782239
bitcoin,2014-05-18,12786539
bitcoin,2014-05-19,12790739
bitcoin,2014-05-20,12795164
bitcoin,2014-05-21,12799539
bitcoin,2014-05-22,12803839
bitcoin,2014-05-23,12807964
bitcoin,2014-05-24,12811814
bitcoin,2014-05-25,12815839
bitcoin,2014-05-26,12819789
bitcoin,2014-05-27,12823189
bitcoin,2014-05-28,12827414
bitcoin,2014-05-29,12830939
