cryptocurrency_id,timestamp,price_btc,price_eth,price_eur,price_usd,price_satoshis,market_cap_btc,market_cap_eth,market_cap_eur,market_cap_usd,market_cap_satoshis,total_volume_btc,total_volume_eth,total_volume_eur,total_volume_usd,total_volume_satoshis
optimism,2022-05-31,4.387106420579577e-05,0.0007168707126882,1.302429520237922,1.3984243604618247,4387.1064205795765,0.0,0.0,0.0,0.0,0.0,2870.697575142102,46908.34503013189,85224312.04316564,91505722.35416752,287069757514.21014
optimism,2022-06-01,4.387106420579577e-05,0.0007168707126882,1.302429520237922,1.3984243604618247,4387.1064205795765,0.0,0.0,0.0,0.0,0.0,2870.697575142102,46908.34503013189,85224312.04316564,91505722.35416752,287069757514.21014
optimism,2022-06-02,4.15049753744102e-05,0.0006779056416621,1.1617377967427367,1.237602851542276,4150.4975374410205,8905.163905833451,145214.33950000728,249714547.4834844,266010907.7117197,890516390583.3451,24956.43102171853,407616.32148335775,698538643.3359708,744155367.3548197,2495643102171.853
optimism,2022-06-03,5.069415449399569e-05,0.0008430065624736,1.437168041450706,1.5448237166141074,5069.415449399569,10816.91889297981,179907.67389793915,306938805.30996895,329931039.59743464,1081691889297.981,21423.59189474081,356258.60100226785,607354080.7915164,652849883.4708306,2142359189474.081
optimism,2022-06-04,4.641601893627369e-05,0.0007765349541906,1.2866911261432772,1.3793518450373483,4641.601893627369,9981.517116408482,167050.1695777039,276633427.29772884,296555109.9165962,998151711640.848,14309.32574564356,239393.46516658235,396666557.7952991,425232394.3505877,1430932574564.356
optimism,2022-06-05,4.659379957172414e-05,0.0007715034345596,1.298254985932538,1.391599291616283,4659.379957172414,9955.073123180504,164982.95529176778,276970053.80129385,296884152.0696716,995507312318.0508,8175.959824419073,135378.12205357666,227808865.2224377,244188282.65830904,817595982441.9073
optimism,2022-06-06,3.915638910303503e-05,0.0006490704641789,1.0925438116735708,1.1718335877194317,3915.638910303503,8502.673483343144,140859.2626852976,237635399.3394597,254918900.81469652,850267348334.3145,7212.31341017226,119553.91495947652,201238381.8998072,215842964.4000049,721231341017.226
optimism,2022-06-07,4.220222881952212e-05,0.0007120865687404,1.238618501081037,1.3241110554897877,4220.222881952212,9099.001987922127,153409.02939335018,267170774.35646304,285576157.7216218,909900198792.2126,7405.703046926337,124957.89486257455,217354416.2006901,232356762.9578244,740570304692.6337
optimism,2022-06-08,3.565226906212304e-05,0.0006127753198206,1.0414965124145974,1.11424083988749,3565.226906212304,7684.338022718393,132068.93132087693,224884519.84459555,240640711.0406964,768433802271.8394,6392.208805949472,109866.43763405694,186733224.92943764,199775786.9566918,639220880594.9471
optimism,2022-06-09,2.405946849770869e-05,0.000405343475501,0.6787655481107248,0.7274057133510842,2405.946849770869,5169.317444004928,87089.96237837491,145927015.42314428,156383270.00552315,516931744400.4928,4425.987513328061,74567.11528549719,124865927.13806003,133813787.4792204,442598751332.8061
optimism,2022-06-10,2.747916958849434e-05,0.0004625154863488,0.7789690340688047,0.8272260955805965,2747.916958849434,5924.967081270815,99674.35822335124,167949572.68473586,178371839.25224426,592496708127.0814,7652.43434428889,128801.90506132586,216928294.36671063,230366982.6676089,765243434428.889
optimism,2022-06-11,3.006836985767342e-05,0.0005257206991045,0.8316230270060587,0.8748051592783558,3006.836985767342,6421.68604560998,112410.57726163472,177657730.68167767,186882631.11897224,642168604560.998,9613.407950848092,168082.525677959,265885096.45753723,279691214.1714689,961340795084.8092
optimism,2022-06-12,2.6762575639634984e-05,0.0004957961003737,0.7217938567083654,0.7593274106150699,2676.2575639634983,5820.535687768403,107870.20555683725,156942829.44395435,165103916.0124497,582053568776.8403,3627.110955321848,67194.85790478905,97824157.15151352,102911050.37137058,362711095532.1848
optimism,2022-06-13,2.4268149929126777e-05,0.0004487153588343,0.62307762744179,0.6535740460023031,2426.8149929126776,5252.645816166479,97014.2786997623,134687946.86097574,141482056.70605773,525264581616.6481,6617.177778234515,122350.871817688,169894097.509033,178209532.50526083,661717777823.4515
optimism,2022-06-14,2.375612472392596e-05,0.0004446280612589,0.5128593238746938,0.5341171879553153,2375.6124723925964,5080.212739886417,95064.12672234332,109316272.49998844,113793832.2097789,508021273988.64166,8902.74640586336,166626.9612708643,192197025.20505983,200163533.85238472,890274640586.3359
optimism,2022-06-15,2.5669689539763383e-05,0.0004698701660561,0.5466751706928277,0.5705361328404825,2566.9689539763385,5515.806078752091,101031.70389075606,117302494.16737658,122410692.3595403,551580607875.2091,6404.830430770026,117237.05241568328,136400627.81344008,142354163.64541882,640483043077.0027
optimism,2022-06-16,2.605889854016554e-05,0.0004775886967836,0.5616135857986183,0.587183059298845,2605.889854016554,5602.994516549559,102827.21859384126,120747940.6268346,126285430.4673998,560299451654.9559,13975.298226558552,256129.18584787715,301191446.6578509,314904267.90818006,1397529822655.8552
optimism,2022-06-17,2.3971982272802435e-05,0.0004581344944659,0.4637069457595437,0.4891872416134628,2397.1982272802434,5164.415555475624,98809.18459320464,99904498.09182754,105384491.65804592,516441555547.5623,4939.425062686679,94398.57656718492,95546779.71813878,100796992.67563428,493942506268.6679
optimism,2022-06-18,2.535554023589174e-05,0.0004774068599008,0.4944681274845334,0.5191419038927495,2535.554023589174,5428.0783718452485,102185.60719588172,106113224.40599394,111408234.9990274,542807837184.5249,2615.362756315206,49243.36493633704,51003193.4944685,53548233.9580257,261536275631.5206
optimism,2022-06-19,2.36877597859711e-05,0.0004528325288071,0.4297267520604494,0.4510411527760327,2368.7759785971098,5021.690947384927,96344.7437388648,91066341.43034948,95583222.17757276,502169094738.4928,3689.012163483928,70521.85271568767,66923475.65362863,70242872.85317828,368901216348.3928
optimism,2022-06-20,2.4715789880662152e-05,0.0004503008792049,0.4832414778962202,0.5069282052130033,2471.578988066215,5273.666110525232,96074.83531289718,103054744.66998096,108106110.80337994,527366611052.52325,2432.597932969212,44319.88592139598,47561992.79615493,49893307.48153728,243259793296.9212
optimism,2022-06-21,2.444834977953248e-05,0.0004460011299634,0.4801579277977662,0.505144921331425,2444.834977953248,5252.134022946574,96071.39060235993,103194891.63656303,108565062.45068626,525213402294.6574,2902.789848273056,52954.39422501065,57009882.91430753,59976626.75683431,290278984827.30554
optimism,2022-06-22,2.4740258823318304e-05,0.0004549825499915,0.4862358613977751,0.5120908145327199,2474.0258823318304,5333.439258379356,98027.26373340785,104815733.47383288,110389172.39909056,533343925837.9358,3102.896272051788,57063.415071744304,60983171.29354452,64225871.31012153,310289627205.17883
optimism,2022-06-23,2.3087708146273968e-05,0.0004389793421193,0.4367703792893561,0.4614047805213943,2308.7708146273967,4981.557976243583,94671.06469158694,94399082.0284753,99730368.3281958,498155797624.3583,2194.769016246624,41730.35507690577,41520366.14484279,43862167.25456405,219476901624.66235
optimism,2022-06-24,2.4869508551429865e-05,0.0004583614019017,0.4988870273791869,0.5248762761949801,2486.9508551429863,5351.02302703784,98657.683565492,107326832.0353562,112945890.06614669,535102302703.784,2020.6080750600609,37241.13599041031,40533778.70256052,42645363.89586414,202060807506.00604
optimism,2022-06-25,2.7836208413069323e-05,0.0004795589673192,0.5620287155365791,0.5932772199907088,2783.620841306932,5994.22469876571,103223.597881939,121321044.54977322,128066431.56682974,599422469876.5709,5023.392085539814,86542.41573541168,101425113.63533984,107064297.23500462,502339208553.9814
optimism,2022-06-26,2.7050409335646477e-05,0.0004678153692156,0.5510660574515982,0.5817050438143435,2705.040933564648,5841.055059895361,100916.30063389326,118817253.2267618,125423430.7476726,584105505989.5361,4866.937432666635,84169.8217487657,99148371.0876388,104660968.98505038,486693743266.66345
optimism,2022-06-27,2.63251983778843e-05,0.0004616634515497,0.5249613274387414,0.5547784500131488,2632.51983778843,5703.158766740082,99855.30206541948,113799237.13860422,120292887.8082702,570315876674.0082,3808.057791093491,66781.68492033114,75938006.02297844,80251186.28082792,380805779109.34906
optimism,2022-06-28,2.5849764428353275e-05,0.0004494087596361,0.5069542605703542,0.536431152394426,2584.976442835328,5553.206254778174,96501.04598557865,108960761.15876444,115270678.07668205,555320625477.8174,2190.2989838031344,38079.24641911248,42955184.55649817,45452816.84196392,219029898380.31345
optimism,2022-06-29,2.6095200583352465e-05,0.0004626019957884,0.5027496727535404,0.5290687255760484,2609.520058335246,5558.873276928587,98636.43550256854,106999088.24004626,112591508.46552896,555887327692.8588,3043.104242286472,53946.55202504772,58628392.49223677,61697601.36998844,304310424228.6472
optimism,2022-06-30,2.890328056122616e-05,0.0005299728835359,0.5568981813141664,0.5816922309669,2890.328056122616,6206.598870583618,113777.99944851612,119610426.97325718,124949781.0156164,620659887058.3618,4682.155362026765,85852.37835270053,90214112.55444217,94230597.54416476,468215536202.67645
optimism,2022-07-01,2.75619367473177e-05,0.0005080834484603,0.513589354544868,0.5381826888785517,2756.1936747317704,5950.959171957116,110117.69518063286,109633006.05522016,114874740.4625257,595095917195.7117,2609.1000310060817,48096.78482629498,48617991.2954708,50946074.04091871,260910003100.6082
optimism,2022-07-02,2.7459992513639224e-05,0.0004983792219765,0.5104940949662522,0.532399124546598,2745.999251363922,5930.661754138925,107452.26476473088,110541624.01548111,115284906.19600956,593066175413.8926,2107.8870586294124,38256.64234148489,39186605.59545391,40868081.959599726,210788705862.94125
optimism,2022-07-03,2.7324045460043093e-05,0.0004926449362271,0.5048583950460012,0.5265215997459488,2732.4045460043094,5861.823196555989,105683.1161650073,108309742.04312992,112957255.35756114,586182319655.5989,1359.560067811148,24512.48970007876,25120193.669985432,26198087.79418958,135956006781.1148
optimism,2022-07-04,2.695680580892853e-05,0.0004845927745129,0.4991008886144302,0.5206995040420955,2695.680580892853,5792.507683765228,104030.11269975442,107239702.44170904,111878871.73716196,579250768376.5228,943.9347315297176,16968.774184648286,17476798.499044113,18233107.811046284,94393473152.9718
optimism,2022-07-05,2.7802342525767822e-05,0.0004884456936989,0.539620005602592,0.5630484516768679,2780.234252576782,5973.307662193683,104966.1884963904,115966502.30483964,120987861.5215696,597330766219.3683,1558.5967944229817,27382.22118310017,30251048.45605034,31564445.013043143,155859679442.2982
optimism,2022-07-06,2.59169597247526e-05,0.0004615014332497,0.5102991145785816,0.5235721932496522,2591.69597247526,5555.1191720330935,98867.78477459792,109347544.93992966,112225800.03338616,555511917203.3093,1759.9612891196605,31339.50378512411,34653242.39681492,35554586.7248772,175996128911.96603
optimism,2022-07-07,2.645925344427513e-05,0.0004581093266554,0.5346739897331985,0.5445954292635213,2645.925344427513,5721.37191786003,98960.40194716083,115519168.79792304,117664306.77473314,572137191786.003,1463.1274929731098,25332.24726195,29566072.822267275,30114702.471900363,146312749297.31097
optimism,2022-07-08,2.6605896793449366e-05,0.0004647277066458,0.566990859315939,0.5764931966767604,2660.5896793449365,5700.147771470904,99496.63786499151,121542763.55144002,123577466.53798796,570014777147.0903,2123.700940232865,37094.88446182097,45257599.48558342,46016082.57466143,212370094023.28647
optimism,2022-07-09,2.6379274398208426e-05,0.0004685083798261,0.5661665778076432,0.5767393638252891,2637.9274398208427,5693.214003129288,100687.290666298,122309598.92639244,124593649.71292956,569321400312.9288,2396.829093360865,42568.81740943494,51442071.71483382,52402718.347581744,239682909336.08652
optimism,2022-07-10,2.6652749389648655e-05,0.0004728036473343,0.5654251647091613,0.575984105328035,2665.2749389648657,5722.092650125913,101476.09590967729,121339382.20663548,123605314.83825052,572209265012.5913,1337.930887552337,23734.08440037909,28383555.53508346,28913599.643752743,133793088755.23367
optimism,2022-07-11,2.5601342588255576e-05,0.0004570328377176,0.5253718538602467,0.5341956984065243,2560.134258825557,5522.9478984587295,98574.94524034797,113308587.39839232,115228525.0833306,552294789845.8729,1245.1838437161175,22228.908644611703,25552743.65454828,25981912.891693205,124518384371.61176
optimism,2022-07-12,2.4117571781178766e-05,0.0004393825126246,0.4798272060339472,0.4821162941988037,2411.7571781178767,5180.310642235731,94332.09153877367,103168164.8188859,103658885.98513924,518031064223.5731,1239.426344511446,22580.31058871498,24658804.18508404,24776442.735190757,123942634451.1446
optimism,2022-07-13,2.3357555324713663e-05,0.0004344669896412,0.4508193123007991,0.4523296409720035,2335.755532471366,5025.339583462863,93356.54046884252,97116022.3368636,97449494.50706673,502533958346.2865,1576.4296000698043,29322.70150716578,30426339.499756925,30528273.404655,157642960006.98044
optimism,2022-07-14,2.3282837419936656e-05,0.0004229357217044,0.4687688792713028,0.4703369827718637,2328.283741993665,4999.466660660436,90867.01624281348,100594241.32145162,100930744.42335904,499946666066.0436,2138.419039210889,38844.65554360095,43054215.35800217,43198238.28444246,213841903921.08887
optimism,2022-07-15,2.3925554762899104e-05,0.0004131711507791,0.4911801269553665,0.4924817562371015,2392.55547628991,5156.248396418548,88979.64881172875,105902276.65018928,106151307.61786084,515624839641.85474,1990.9323886239067,34381.47346145257,40872883.95587225,40981197.26023107,199093238862.3907
